电信组播,#genre#
聊城民生,http://192.168.3.119:12123/udp/239.21.1.254:5002
临清综合,http://192.168.3.119:12123/udp/239.21.2.123:5002
莘县综合,http://192.168.3.119:12123/udp/239.21.1.211:5002
茌平综合,http://192.168.3.119:12123/udp/239.21.1.219:5002
东阿综合,http://192.168.3.119:12123/udp/239.21.2.61:5002
文登综合,http://192.168.3.119:12123/udp/239.21.1.174:5002
荣成综合,http://192.168.3.119:12123/udp/239.21.1.227:5002
乳山综合,http://192.168.3.119:12123/udp/239.21.1.220:5002
泰山综合,http://192.168.3.119:12123/udp/239.21.2.147:5002
岱岳综合,http://192.168.3.119:12123/udp/239.21.2.139:5002
新泰综合,http://192.168.3.119:12123/udp/239.21.1.210:5002
新泰乡村,http://192.168.3.119:12123/udp/239.21.1.248:5002
东平综合,http://192.168.3.119:12123/udp/239.21.1.216:5002
宁阳综合,http://192.168.3.119:12123/udp/239.21.1.143:5002
兰陵综合,http://192.168.3.119:12123/udp/239.21.1.237:5002
兰陵公共,http://192.168.3.119:12123/udp/239.21.2.63:5002
蒙阴综合,http://192.168.3.119:12123/udp/239.21.2.23:5002
河东综合,http://192.168.3.119:12123/udp/239.21.2.136:5002
临沭综合,http://192.168.3.119:12123/udp/239.21.2.154:5002
沂水综合,http://192.168.3.119:12123/udp/239.21.2.79:5002
沂水生活,http://192.168.3.119:12123/udp/239.21.2.80:5002
莒县综合,http://192.168.3.119:12123/udp/239.21.1.236:5002
岚山综合,http://192.168.3.119:12123/udp/239.21.1.209:5002
九宫格测试,http://192.168.3.119:12123/udp/239.21.1.203:5002
山东经济广播,http://192.168.3.119:12123/udp/239.21.2.148:5002
山东交通广播,http://192.168.3.119:12123/udp/239.21.2.151:5002
